country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",11-04-2025 00:00,26.10887,91.589544,NO2,12,40,19
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",11-04-2025 00:00,26.1875,91.744194,SO2,30,42,35
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",11-04-2025 00:00,26.181742,91.78063,PM10,43,391,142
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",11-04-2025 00:00,25.5626095,84.663264,NH3,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-04-2025 00:00,26.80365,84.51954,PM10,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-04-2025 00:00,26.80365,84.51954,SO2,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-04-2025 00:00,26.80365,84.51954,CO,28,102,68
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",11-04-2025 00:00,25.251013,86.989001,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",11-04-2025 00:00,16.486692,80.699436,NO2,26,73,34
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",11-04-2025 00:00,16.486692,80.699436,NH3,5,8,7
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",11-04-2025 00:00,16.486692,80.699436,OZONE,29,37,35
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",11-04-2025 00:00,17.72,83.3,NH3,1,3,1
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-04-2025 00:00,25.56752,83.966379,NH3,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-04-2025 00:00,25.56752,83.966379,CO,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-04-2025 00:00,25.56752,83.966379,OZONE,21,86,39
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",11-04-2025 00:00,24.762518,84.982348,PM2.5,39,64,54
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",11-04-2025 00:00,22.12665,83.483212,OZONE,8,9,8
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",11-04-2025 00:00,22.1910172,83.5197009,PM10,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",11-04-2025 00:00,22.1910172,83.5197009,NO2,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",11-04-2025 00:00,22.1910172,83.5197009,CO,8,26,20
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",11-04-2025 00:00,21.258815,81.578979,PM10,22,79,47
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",11-04-2025 00:00,21.219665,81.630094,PM2.5,16,27,20
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",11-04-2025 00:00,21.219665,81.630094,SO2,4,34,10
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",11-04-2025 00:00,21.219665,81.630094,CO,20,76,42
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",11-04-2025 00:00,21.237755,81.705301,PM10,21,92,48
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",11-04-2025 00:00,21.237755,81.705301,NH3,7,7,7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",11-04-2025 00:00,21.371751,81.664929,CO,20,52,31
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",11-04-2025 00:00,30.719859,76.738637,PM10,65,174,110
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",11-04-2025 00:00,30.719859,76.738637,NO2,12,127,47
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",11-04-2025 00:00,30.719859,76.738637,SO2,15,52,25
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",11-04-2025 00:00,30.719859,76.738637,OZONE,4,139,87
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",11-04-2025 00:00,21.194815,81.31477,NH3,3,4,4
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",11-04-2025 00:00,21.194815,81.31477,SO2,9,64,17
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",11-04-2025 00:00,21.185571,81.343175,NO2,5,8,7
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",11-04-2025 00:00,21.185571,81.343175,NH3,2,2,2
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",11-04-2025 00:00,21.185571,81.343175,SO2,8,38,12
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",11-04-2025 00:00,21.185571,81.343175,CO,2,101,40
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",11-04-2025 00:00,21.224231,81.40835,PM10,33,99,65
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",11-04-2025 00:00,21.224231,81.40835,NO2,20,79,41
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",11-04-2025 00:00,25.599486,85.113666,CO,17,32,21
India,Bihar,Patna,"Samanpura, Patna - BSPCB",11-04-2025 00:00,25.596727,85.085624,PM10,46,132,100
India,Bihar,Patna,"Samanpura, Patna - BSPCB",11-04-2025 00:00,25.596727,85.085624,NO2,38,51,45
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",11-04-2025 00:00,25.366336,87.117468,PM10,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",11-04-2025 00:00,25.366336,87.117468,OZONE,8,37,16
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",11-04-2025 00:00,25.0328,85.41948,NO2,9,10,9
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",11-04-2025 00:00,25.892357,86.590325,PM2.5,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",11-04-2025 00:00,25.859655,85.77944,PM10,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",11-04-2025 00:00,28.498571,77.26484,NO2,16,55,39
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",11-04-2025 00:00,28.498571,77.26484,CO,32,64,38
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",11-04-2025 00:00,28.5710274,77.0719006,NO2,33,70,43
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",11-04-2025 00:00,28.5710274,77.0719006,SO2,9,22,16
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",11-04-2025 00:00,28.5627763,77.1180053,OZONE,5,163,54
